HGNC ID	Approved Symbol	Approved Name	Status	Locus Type	Locus Group	Previous Symbols	Previous Names	Synonyms	Name Synonyms	Chromosome	Date Approved	Date Modified	Date Symbol Changed	Date Name Changed	Accession Numbers	Enzyme IDs	Entrez Gene ID	Ensembl Gene ID	Mouse Genome Database ID	Specialist Database Links	Specialist Database IDs	Pubmed IDs	RefSeq IDs	Gene Family Tag	Gene family description	Record Type	Primary IDs	Secondary IDs	CCDS IDs	VEGA IDs	Locus Specific Databases	Entrez Gene ID (supplied by NCBI)	OMIM ID (supplied by NCBI)	RefSeq (supplied by NCBI)	UniProt ID (supplied by UniProt)	Ensembl ID (supplied by Ensembl)	Vega ID (supplied by Vega)	UCSC ID (supplied by UCSC)	Mouse Genome Database ID (supplied by MGI)	Rat Genome Database ID (supplied by RGD)	RNAcentral IDs (supplied by RNAcentral)	LNCipedia symbol (supplied by LNCipedia)
HGNC:23	ABAT	4-aminobutyrate aminotransferase	Approved	gene with protein product	protein-coding gene			GABAT, GABA-T	"4-aminobutyrate transaminase", "gamma-aminobutyrate aminotransferase", "GABA transaminase"	16p13.2	1996-03-13	2019-10-17			L32961	2.6.1.19	18	ENSG00000183044	MGI:2443582	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2464	, , , , , , , objectId:2464, , , ABAT, 117617, , , , , , 	7721088	NM_020686			Standard			CCDS10534	OTTHUMG00000048201		18	137150	NM_000663	P80404	ENSG00000183044	OTTHUMG00000048201	uc002czc.5	MGI:2443582	RGD:620948		
HGNC:24	ABC1	symbol withdrawn, see [HGNC:29](/data/gene-symbol-report/#!/hgnc_id/HGNC:29)	Symbol Withdrawn	unknown	other						1999-10-26	2019-07-26									, , , , , , , , , , , , , , , , , 					Standard																
HGNC:25	ABC2	symbol withdrawn, see [HGNC:32](/data/gene-symbol-report/#!/hgnc_id/HGNC:32)	Symbol Withdrawn	unknown	other						1999-10-26	2019-07-26									, , , , , , , , , , , , , , , , , 					Standard																
HGNC:26	ABC3	symbol withdrawn, see [HGNC:33](/data/gene-symbol-report/#!/hgnc_id/HGNC:33)	Symbol Withdrawn	unknown	other						1999-10-26	2019-07-26									, , , , , , , , , , , , , , , , , 					Standard																
HGNC:28	ABC7	symbol withdrawn, see [HGNC:48](/data/gene-symbol-report/#!/hgnc_id/HGNC:48)	Symbol Withdrawn	unknown	other						1999-10-26	2019-07-26									, , , , , , , , , , , , , , , , , 					Standard																
HGNC:27	ABC50	symbol withdrawn, see [HGNC:70](/data/gene-symbol-report/#!/hgnc_id/HGNC:70)	Symbol Withdrawn	unknown	other						1999-10-26	2019-07-26									, , , , , , , , , , , , , , , , , 					Standard																
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	Approved	gene with protein product	protein-coding gene	ABC1, HDLDT1	"ATP-binding cassette, sub-family A (ABC1), member 1"	TGD	"Tangier disease"	9q31.1	2005-03-17	2019-10-17		2015-11-13	AJ012376		19	ENSG00000165029	MGI:99607	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=756	, , , , , , , objectId:756, , , ABCA1, 159528, , , , , , 	8088782, 10431236, 10431237, 10431238	NM_005502	ABCA	"ATP binding cassette transporters / subfamily A"	Standard			CCDS6762	OTTHUMG00000020417		19	600046	NM_005502	O95477	ENSG00000165029	OTTHUMG00000020417	uc004bcl.4	MGI:99607	RGD:631344		
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	Approved	gene with protein product	protein-coding gene	ABC2	"ATP-binding cassette, sub-family A (ABC1), member 2"			9q34.3	1994-03-16	2016-10-05		2015-11-13	U18235		20	ENSG00000107331	MGI:99606	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=757	, , , , , , , objectId:757, , , ABCA2, , , , , , , 	8088782	NM_001606	ABCA	"ATP binding cassette transporters / subfamily A"	Standard			CCDS43909	OTTHUMG00000020958		20	600047	NM_001606	Q9BZC7	ENSG00000107331	OTTHUMG00000020958	uc064xhf.1	MGI:99606	RGD:620238		
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	Approved	gene with protein product	protein-coding gene	ABC3	"ATP-binding cassette, sub-family A (ABC1), member 3"	ABC-C, EST111653, LBM180		16p13.3	1996-08-08	2019-10-17		2015-11-13	U78735		21	ENSG00000167972	MGI:1351617	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=758	, , , , , , , objectId:758, , , ABCA3, 140560, , , , , , 	8706931	NM_001089	ABCA	"ATP binding cassette transporters / subfamily A"	Standard			CCDS10466	OTTHUMG00000128845		21	601615	NM_001089	Q99758	ENSG00000167972	OTTHUMG00000128845	uc002cpy.2	MGI:1351617	RGD:1307174		
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	Approved	gene with protein product	protein-coding gene	STGD1, ABCR, RP19, STGD	"ATP-binding cassette transporter, retinal-specific", "ATP-binding cassette, sub-family A (ABC1), member 4"	FFM, ARMD2, CORD3	"Stargardt disease"	1p22.1	1994-07-14	2019-10-17		2015-11-13	U88667		24	ENSG00000198691	MGI:109424	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=759	, , , , , , , objectId:759, , , ABCA4, 117623, , , , , , 	9490294	NM_000350	ABCA	"ATP binding cassette transporters / subfamily A"	Standard			CCDS747	OTTHUMG00000010622	"Mutations of the ATP-binding Cassette Transporter Retina|http://www.retina-international.org/files/sci-news/abcrmut.htm"	24	601691	NM_000350	P78363	ENSG00000198691	OTTHUMG00000010622	uc001dqh.4	MGI:109424	RGD:1309445		
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	Approved	gene with protein product	protein-coding gene		"ATP-binding cassette, sub-family A (ABC1), member 5"	EST90625		17q24.3	1999-10-26	2015-11-13		2015-11-13	U66672		23461	ENSG00000154265	MGI:2386607	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=760	, , , , , , , objectId:760, , , ABCA5, 404800, , , , , , 	8894702	NM_018672	ABCA	"ATP binding cassette transporters / subfamily A"	Standard			CCDS11685	OTTHUMG00000180303		23461	612503	NM_018672	Q8WWZ7	ENSG00000154265	OTTHUMG00000180303	uc002jig.3	MGI:2386607	RGD:628661		
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6	Approved	gene with protein product	protein-coding gene		"ATP-binding cassette, sub-family A (ABC1), member 6"	EST155051		17q24.2-q24.3	1999-10-26	2018-02-13		2015-11-13	U66680		23460	ENSG00000154262	MGI:1923434	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=761	, , , , , , , objectId:761, , , ABCA6, , , , , , , 	8894702	NM_080284	ABCA	"ATP binding cassette transporters / subfamily A"	Standard			CCDS11683	OTTHUMG00000180258		23460	612504	NM_080284	Q8N139	ENSG00000154262	OTTHUMG00000180258	uc002jhw.2	MGI:1923434	RGD:1308998		
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	Approved	gene with protein product	protein-coding gene		"ATP-binding cassette, sub-family A (ABC1), member 7"	ABCX		19p13.3	1999-06-11	2019-03-21		2015-11-13	AF328787		10347	ENSG00000064687	MGI:1351646	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=762	, , , , , , , objectId:762, , , ABCA7, , , , , , , 	10873640, 11435699, 12917409	NM_019112	ABCA	"ATP binding cassette transporters / subfamily A"	Standard			CCDS12055	OTTHUMG00000167547		10347	605414	NM_019112	Q8IZY2	ENSG00000064687	OTTHUMG00000167547	uc002lqw.5	MGI:1351646	RGD:1303134		
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	Approved	gene with protein product	protein-coding gene		"ATP-binding cassette, sub-family A (ABC1), member 8"	KIAA0822		17q24.2	1999-06-11	2019-03-21		2015-11-13	AB020629		10351	ENSG00000141338	MGI:1351668, MGI:2386846	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=763	, , , , , , , objectId:763, , , ABCA8, , , , , , , 	12379217, 23560799	NM_007168	ABCA	"ATP binding cassette transporters / subfamily A"	Standard			CCDS11680, CCDS74138, CCDS74139	OTTHUMG00000180192		10351	612505	NM_001288985	O94911	ENSG00000141338	OTTHUMG00000180192	uc002jhq.5	MGI:1351668, MGI:2386846	RGD:1307069		
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9	Approved	gene with protein product	protein-coding gene		"ATP-binding cassette, sub-family A (ABC1), member 9"	EST640918		17q24.2	1999-06-11	2019-03-21		2015-11-13	AF423307		10350	ENSG00000154258	MGI:2386796	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=764	, , , , , , , objectId:764, , , ABCA9, , , , , , , 	12150964	NM_172386	ABCA	"ATP binding cassette transporters / subfamily A"	Standard			CCDS11681	OTTHUMG00000140371		10350	612507	NM_080283	Q8IUA7	ENSG00000154258	OTTHUMG00000140371	uc002jhu.4	MGI:2386796	RGD:1305931		
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1	Approved	RNA, long non-coding	non-coding RNA		"ABCA9 antisense RNA 1 (non-protein coding)"			17q24.2	2011-04-20	2014-11-19		2012-08-15				ENSG00000231749			, , , , , , , , , , , , , , , , , 			LNCRNA	"Long non-coding RNAs"	Standard				OTTHUMG00000140370		104355297		NR_126414		ENSG00000231749	OTTHUMG00000140370	uc060jgk.1			URS000018F63F	ABCA9-AS1
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10	Approved	gene with protein product	protein-coding gene		"ATP-binding cassette, sub-family A (ABC1), member 10"	EST698739		17q24.3	1999-06-11	2016-10-05		2015-11-13	AY247065		10349	ENSG00000154263		http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=765	, , , , , , , objectId:765, , , ABCA10, 469886, , , , , , 	12821155, 11435397	NM_080282	ABCA	"ATP binding cassette transporters / subfamily A"	Standard			CCDS11684	OTTHUMG00000164716		10349	612508	NM_080282	Q8WWZ4	ENSG00000154263	OTTHUMG00000164716	uc010dfa.2				
HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	Approved	pseudogene	pseudogene	ABCA11	"ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene"	EST1133530, FLJ14297		4p16.3	1999-06-11	2015-11-13	2008-09-09	2015-11-13	AK024359		79963	ENSG00000251595		http://tables.pseudogene.org/PGOHUM00000245425	, , , , , , , , , , , , PGOHUM00000245425, , , , , 		NR_002451.2	ABCA	"ATP binding cassette transporters / subfamily A"	Standard				OTTHUMG00000159884		79963		NR_002451	Q4W5N1	ENSG00000251595	OTTHUMG00000159884					
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	Approved	gene with protein product	protein-coding gene	ICR2B	"ichthyosis congenita II, lamellar ichthyosis B", "ATP-binding cassette, sub-family A (ABC1), member 12"	DKFZP434G232, LI2		2q35	2001-08-16	2019-10-17		2015-11-13	AF418105		26154	ENSG00000144452	MGI:2676312	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=766	, , , , , , , objectId:766, , , ABCA12, 117620, , , , , , 	11435397, 12915478, 8845852, 10094194	NM_173076	ABCA	"ATP binding cassette transporters / subfamily A"	Standard			CCDS33372, CCDS33373	OTTHUMG00000154801		26154	607800	NM_015657	Q86UK0	ENSG00000144452	OTTHUMG00000154801	uc002vew.3	MGI:2676312	RGD:1304586		
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13	Approved	gene with protein product	protein-coding gene		"ATP-binding cassette, sub-family A (ABC1), member 13"	FLJ33876, FLJ33951		7p12.3	2004-12-21	2015-11-13		2015-11-13	AY204751		154664	ENSG00000179869	MGI:2388707	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=767	, , , , , , , objectId:767, , , ABCA13, , , , , , , 	12697998	NM_152701	ABCA	"ATP binding cassette transporters / subfamily A"	Standard			CCDS47584	OTTHUMG00000155840	"LOVD - Leiden Open Variation Database|http://chromium.liacs.nl/LOVD2/home.php?select_db=ABCA13"	154664	607807	NM_152701	Q86UQ4	ENSG00000179869	OTTHUMG00000155840	uc003toq.2	MGI:2388707	RGD:1305895		
HGNC:32972	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	Approved	pseudogene	pseudogene		"ATP-binding cassette, sub-family A (ABC1), member 17, pseudogene"			16p13.3	2006-09-19	2015-11-13		2015-11-13	DQ266102		650655	ENSG00000238098	MGI:3625331	http://tables.pseudogene.org/PGOHUM00000250669	, , , , , , , , , , , , PGOHUM00000250669, , , , , 	16968533	NR_003574	ABCA	"ATP binding cassette transporters / subfamily A"	Standard				OTTHUMG00000154348		650655		NR_003574		ENSG00000238098	OTTHUMG00000154348		MGI:3625331			
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	Approved	gene with protein product	protein-coding gene	PGY1, MDR1, CLCS	"colchicin sensitivity", "ATP-binding cassette, sub-family B (MDR/TAP), member 1"	P-gp, CD243, GP170, ABC20	"multidrug resistance protein 1"	7q21.12	1986-01-01	2015-11-13		2015-11-13	M14758		5243	ENSG00000085563	MGI:97570	http://www.hcdm.org/MoleculeInformation/tabid/54/HGNCLocusTag/40/Default.aspx	, , CD243, , , , , objectId:768, , , ABCB1, 318801, , , , , , 	3027054	NM_000927	CD, ABCB	"CD molecules", "ATP binding cassette transporters / subfamily B"	Standard			CCDS5608	OTTHUMG00000023393		5243	171050	NM_000927	P08183	ENSG00000085563	OTTHUMG00000023393	uc003uiz.3	MGI:97570	RGD:619951		
HGNC:11563	ABCB2	symbol withdrawn, see [HGNC:43](/data/gene-symbol-report/#!/hgnc_id/HGNC:43)	Symbol Withdrawn	unknown	other						1999-10-26	2019-07-26									, , , , , , , , , , , , , , , , , 					Standard																
HGNC:11564	ABCB3	symbol withdrawn, see [HGNC:44](/data/gene-symbol-report/#!/hgnc_id/HGNC:44)	Symbol Withdrawn	unknown	other						1999-10-26	2019-07-26									, , , , , , , , , , , , , , , , , 					Standard																
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	Approved	gene with protein product	protein-coding gene	PGY3, MDR3	"ATP-binding cassette, sub-family B (MDR/TAP), member 4"	MDR2, PFIC-3, GBD1		7q21.12	1988-05-11	2019-10-17		2015-11-13	M23234		5244	ENSG00000005471	MGI:97569	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=771	, , , , , , , objectId:771, , , ABCB4, 117639, , , , , , 	2892668, 11313316	NM_000443	ABCB	"ATP binding cassette transporters / subfamily B"	Standard			CCDS5605, CCDS5606, CCDS5607	OTTHUMG00000023396		5244	171060	NM_000443	P21439	ENSG00000005471	OTTHUMG00000023396	uc003uix.1	MGI:97569	RGD:620248		
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5	Approved	gene with protein product	protein-coding gene		"ATP-binding cassette, sub-family B (MDR/TAP), member 5"	EST422562, ABCB5beta, ABCB5alpha	"P-glycoprotein ABCB5", "ATP-binding cassette protein"	7p21.1	1999-10-26	2016-10-05		2015-11-13	U66692		340273	ENSG00000004846	MGI:1924956	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=772	, , , , , , , objectId:772, , , ABCB5, , , , , , , 	8894702, 12960149	NM_178559	ABCB	"ATP binding cassette transporters / subfamily B"	Standard			CCDS5371, CCDS55090, CCDS55091, CCDS55092	OTTHUMG00000094789		340273	611785	NM_001163941	Q2M3G0	ENSG00000004846	OTTHUMG00000094789	uc010kuh.4	MGI:1924956	RGD:1566342		
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	Approved	gene with protein product	protein-coding gene		"ATP-binding cassette, sub-family B (MDR/TAP), member 6", "ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)"	EST45597, umat, MTABC3	"ATP-binding cassette half-transporter"	2q35	1999-10-26	2019-11-28		2015-11-13	AF070598		10058	ENSG00000115657	MGI:1921354	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=773	, , , , , , , objectId:773, , , ABCB6, 291794, , , , , , 	8894702, 9110174	NM_005689	ABCB	"ATP binding cassette transporters / subfamily B"	Standard			CCDS2436, CCDS86920	OTTHUMG00000133131	"LRG_824|http://ftp.ebi.ac.uk/pub/databases/lrgex/pending/LRG_824.xml"	10058	605452	NM_001349828	Q9NP58	ENSG00000115657	OTTHUMG00000133131	uc002vkc.3	MGI:1921354	RGD:71077		
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	Approved	gene with protein product	protein-coding gene	ABC7	"ATP-binding cassette, sub-family B (MDR/TAP), member 7"	EST140535, Atm1p, ASAT		Xq13.3	1997-09-12	2019-11-28		2015-11-13	AF038950		22	ENSG00000131269	MGI:109533	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=774	, , , , , , , objectId:774, , , ABCB7, 117646, , , , , , 	9143506	NM_004299	ABCB	"ATP binding cassette transporters / subfamily B"	Standard			CCDS14428, CCDS65290, CCDS65291, CCDS75994	OTTHUMG00000021862	"Mental Retardation database|http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ABCB7","LRG_1162|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_1162.xml"	22	300135	NM_001271696	O75027	ENSG00000131269	OTTHUMG00000021862	uc004ebz.5	MGI:109533	RGD:1303086		
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8	Approved	gene with protein product	protein-coding gene		"ATP-binding cassette, sub-family B (MDR/TAP), member 8"	EST328128, M-ABC1, MABC1	"mitochondrial ABC protein"	7q36.1	1999-10-26	2015-11-13		2015-11-13	AF047690		11194	ENSG00000197150	MGI:1351667	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=775	, , , , , , , objectId:775, , , ABCB8, 469888, , , , , , 	8894702	NM_007188	ABCB	"ATP binding cassette transporters / subfamily B"	Standard			CCDS5913, CCDS64798, CCDS64799, CCDS64800	OTTHUMG00000158686		11194	605464	NM_001282291	Q9NUT2	ENSG00000197150	OTTHUMG00000158686	uc003wik.6	MGI:1351667	RGD:1307655		
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9	Approved	gene with protein product	protein-coding gene		"ATP-binding cassette, sub-family B (MDR/TAP), member 9"	EST122234		12q24.31	1999-10-26	2016-10-04		2015-11-13	U66676		23457	ENSG00000150967	MGI:1861729	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=776	, , , , , , , objectId:776, , , ABCB9, , , , , , , 	8894702	NM_019624	ABCB	"ATP binding cassette transporters / subfamily B"	Standard			CCDS9241, CCDS58286, CCDS58287, CCDS58288	OTTHUMG00000168769		23457	605453	NM_001243013	Q9NP78	ENSG00000150967	OTTHUMG00000168769	uc058upb.1	MGI:1861729	RGD:620254		
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	Approved	gene with protein product	protein-coding gene		"ATP-binding cassette, sub-family B (MDR/TAP), member 10"	EST20237, M-ABC2, MTABC2	"ATP-binding cassette sub-family B member 10, mitochondrial", "ATP-binding cassette transporter 10", "ABC transporter 10 protein", "mitochondrial ATP-binding cassette 2"	1q42.13	1999-10-26	2016-10-05		2015-11-13	U18237		23456	ENSG00000135776	MGI:1860508	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=777	, , , , , , , objectId:777, , , ABCB10, , , , , , , 	7766993	NM_012089	ABCB	"ATP binding cassette transporters / subfamily B"	Standard			CCDS1580	OTTHUMG00000039471		23456	605454	NM_012089	Q9NRK6	ENSG00000135776	OTTHUMG00000039471	uc001htp.4	MGI:1860508	RGD:1311222		
HGNC:14114	ABCB10P1	ABCB10 pseudogene 1	Approved	pseudogene	pseudogene	ABCB10P, ABCB10P2	"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene", "ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 2", "ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 1", "ATP binding cassette subfamily B member 10 pseudogene 1"	M-ABC2, MABC2		15q11.2	2001-07-13	2018-05-23	2008-09-09	2018-05-23	AF218417		56476	ENSG00000274099		http://tables.pseudogene.org/PGOHUM00000293137	, , , , , , , , , , , , PGOHUM00000293137, , , , , 	7766993, 10922475	NG_005041			Standard				OTTHUMG00000188344		56476		NG_005041		ENSG00000274099	OTTHUMG00000188344					
HGNC:31128	ABCB10P2	symbol withdrawn, see [HGNC:14114](/data/gene-symbol-report/#!/hgnc_id/HGNC:14114)	Symbol Withdrawn	pseudogene	pseudogene					15q11.2	2010-06-17	2019-07-26									, , , , , , , , , , , , , , , , , 					Standard																
HGNC:31129	ABCB10P3	ABCB10 pseudogene 3	Approved	pseudogene	pseudogene		"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 3", "ATP binding cassette subfamily B member 10 pseudogene 3"			15q13.1	2010-06-17	2018-05-23		2018-05-23			728248	ENSG00000261524		http://tables.pseudogene.org/PGOHUM00000293151	, , , , , , , , , , , , PGOHUM00000293151, , , , , 		NG_022122			Standard				OTTHUMG00000175874		728248		NG_022122		ENSG00000261524	OTTHUMG00000175874					
HGNC:31130	ABCB10P4	ABCB10 pseudogene 4	Approved	pseudogene	pseudogene		"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 4", "ATP binding cassette subfamily B member 10 pseudogene 4"			15q13.1	2010-06-17	2018-05-23		2018-05-23			100132289	ENSG00000260053		http://tables.pseudogene.org/PGOHUM00000292862	, , , , , , , , , , , , PGOHUM00000292862, , , , , 		NG_022102			Standard				OTTHUMG00000175877		100132289		NG_022102		ENSG00000260053	OTTHUMG00000175877					
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	Approved	gene with protein product	protein-coding gene	BSEP, PFIC2	"progressive familial intrahepatic cholestasis 2", "bile salt export pump", "ATP-binding cassette, sub-family B (MDR/TAP), member 11"	ABC16, SPGP, PFIC-2, PGY4	"ABC member 16, MDR/TAP subfamily"	2q31.1	1998-09-25	2019-11-28		2015-11-13	AF091582		8647	ENSG00000073734	MGI:1351619	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=778	, , , , , , , objectId:778, , , ABCB11, 117631, , , , , , 	9806540	NM_003742	ABCB	"ATP binding cassette transporters / subfamily B"	Standard			CCDS46444	OTTHUMG00000154039	"CCHMC-BMI & UC Hearing Loss Mutation Database|https://research.cchmc.org/LOVD/home.php?select_db=ABCB11","LRG_1199|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_1199.xml"	8647	603201	NM_003742	O95342	ENSG00000073734	OTTHUMG00000154039	uc002ueo.2	MGI:1351619	RGD:619930		
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	Approved	gene with protein product	protein-coding gene	MRP, MRP1	"multidrug resistance associated protein 1", "ATP-binding cassette, sub-family C (CFTR/MRP), member 1"	GS-X		16p13.11	1993-06-29	2018-05-03		2015-11-13	L05628		4363	ENSG00000103222	MGI:102676	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=779	, , , , , , , objectId:779, , , ABCC1, 469890, , , , , , 	8098549, 1360704	NM_004996	ABCC	"ATP binding cassette transporters / subfamily C"	Standard			CCDS42122	OTTHUMG00000048267		4363	158343	NM_004996	P33527	ENSG00000103222	OTTHUMG00000048267	uc010bvi.4	MGI:102676	RGD:3112		
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	Approved	gene with protein product	protein-coding gene	CMOAT	"canalicular multispecific organic anion transporter 1", "ATP-binding cassette, sub-family C (CFTR/MRP), member 2"	DJS, MRP2, cMRP		10q24.2	1997-05-09	2019-11-28		2015-11-13	U63970		1244	ENSG00000023839	MGI:1352447	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=780	, , , , , , , objectId:780, , , ABCC2, 117652, , , , , , 	8797578, 9284939	NM_000392	ABCC	"ATP binding cassette transporters / subfamily C"	Standard			CCDS7484	OTTHUMG00000018895	"LRG_1208|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_1208.xml"	1244	601107	NM_000392	Q92887	ENSG00000023839	OTTHUMG00000018895	uc001kqf.3	MGI:1352447	RGD:2366		
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3	Approved	gene with protein product	protein-coding gene		"ATP-binding cassette, sub-family C (CFTR/MRP), member 3"	MRP3, cMOAT2, EST90757, MLP2, MOAT-D	"canalicular multispecific organic anion transporter 2"	17q21.33	1999-10-26	2018-05-03		2015-11-13	Y17151		8714	ENSG00000108846	MGI:1923658	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=781	, , , , , , , objectId:781, , , ABCC3, 469892, , , , , , 	8894702, 9827529	NM_020038	ABCC	"ATP binding cassette transporters / subfamily C"	Standard			CCDS32681, CCDS45739	OTTHUMG00000162245		8714	604323	NM_001144070	O15438	ENSG00000108846	OTTHUMG00000162245	uc002isl.4	MGI:1923658	RGD:71101		
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4	Approved	gene with protein product	protein-coding gene		"ATP-binding cassette, sub-family C (CFTR/MRP), member 4"	MRP4, EST170205, MOAT-B, MOATB	"canalicular multispecific organic anion transporter (ABC superfamily)", "bA464I2.1 (ATP-binding cassette, sub-family C (CFTR/MRP), member 4)", "multidrug resistance-associated protein 4", "multispecific organic anion transporter B"	13q32.1	1999-10-26	2019-11-28		2015-11-13	U66682		10257	ENSG00000125257	MGI:2443111	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=782	, , , , , , , objectId:782, , , ABCC4, 469894, , , , , , 	8894702, 9661885	NM_005845	ABCC	"ATP binding cassette transporters / subfamily C"	Standard			CCDS9474, CCDS45061, CCDS76643, CCDS86356	OTTHUMG00000017216	"LRG_1183|http://ftp.ebi.ac.uk/pub/databases/lrgex/pending/LRG_1183.xml"	10257	605250	NM_001105515	O15439	ENSG00000125257	OTTHUMG00000017216	uc001vmd.5	MGI:2443111	RGD:620266		
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	Approved	gene with protein product	protein-coding gene		"ATP-binding cassette, sub-family C (CFTR/MRP), member 5"	MRP5, SMRP, EST277145, MOAT-C		3q27.1	1999-10-26	2016-10-05		2015-11-13	AF104942		10057	ENSG00000114770	MGI:1351644	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=783	, , , , , , , objectId:783, , , ABCC5, , , , , , , 	8894702, 9827529	NM_005688	ABCC	"ATP binding cassette transporters / subfamily C"	Standard			CCDS33898, CCDS43176	OTTHUMG00000156871		10057	605251	NM_001023587	O15440	ENSG00000114770	OTTHUMG00000156871	uc003fmg.4	MGI:1351644	RGD:70913		
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1	Approved	RNA, long non-coding	non-coding RNA		"ABCC5 antisense RNA 1 (non-protein coding)"			3q27.1	2011-07-27	2014-11-18		2012-08-15				ENSG00000223882			, , , , , , , , , , , , , , , , , 			LNCRNA	"Long non-coding RNAs"	Standard				OTTHUMG00000156870		100873982		NR_046570		ENSG00000223882	OTTHUMG00000156870	uc031scp.1			URS0000221CD6	ABCC5-AS1
